Dataset,Method,auc_mean,auc_std,ap_mean,ap_std,time_mean,time_std,throughput_mean,throughput_std,mean_auc_mean,mean_auc_std,std_auc_mean,std_auc_std,mean_ap_mean,mean_ap_std,std_ap_mean,std_ap_std
Synthetic,MemStream,0.40414022890559376,0.048103505273051295,0.3508914325861625,0.01497826907952196,1.6996392011642456,0.06691205501556396,1767.820385213531,69.59623830282112,0.4071970984803447,0.04968037692002397,0.023643939107217907,0.010667938257402162,0.3538934099211539,0.017741951139492146,0.023850232313878325,0.008372985116980656
Synthetic,HalfSpaceTrees,0.9127715621761299,0.014283298934981203,0.7989600892404914,0.012605717849994647,29.393430948257446,10.213237524032593,154.77078228478172,53.77768808402824,0.9204163732559771,0.0064525458734813745,0.030866275866891814,0.02126277388281691,0.803478999752314,0.006475026379831439,0.03456967439421132,0.018454489558683593
Synthetic,xStream,0.886179639480708,0.018685291074847454,0.7561331064969303,0.020566794433040048,3.236269474029541,0.014221429824829102,1236.0148857322206,5.431531305085741,0.8832133102174167,0.01935839805403189,0.04263886569823394,0.006917091686120511,0.7522814823622459,0.023668415579990276,0.04431112823686098,0.005860096286070239
KDDCup99,MemStream,0.4009819711491196,0.0535837056387794,0.0009935205871623705,0.00022312431676610006,17.261247515678406,0.9070357084274292,174.28095268313535,9.15803143653271,0.38263340207415586,0.10251995529404243,0.18251127510766535,0.10651648499632693,0.002315282219236054,0.0005802394841933187,0.0008270428729100179,0.00021246453191123141
KDDCup99,HalfSpaceTrees,0.47143584274166583,0.021642299198122328,0.0010229995289923947,7.514633999145253e-05,24.197333931922913,0.6476267576217651,165.4259677717314,4.427524265105475,0.45931231855671,0.0582051989608075,0.14186960124574227,0.0336563464804165,0.0023051421093828834,0.00011363821291082601,0.0008497892897611024,0.0003033867086470622
KDDCup99,xStream,0.3177779003359126,0.04290928171729391,0.0007907135173039171,3.233065984050565e-05,3.4720661640167236,0.07840418815612793,1152.6395333127443,26.028238684684425,0.28341668253721547,0.05672345760292469,0.18465776060771272,0.0066192563271972316,0.001723213054300862,8.441130578704331e-05,0.0006093091322928225,0.0001793389712708839
NSL-KDD,MemStream,0.5920261165290188,0.01425088005410019,0.6198642914039855,0.012323464384633165,17.006009936332703,0.1509190797805786,176.422117694088,1.565650246884104,0.5906712378120009,0.01563589054492226,0.015586356673527622,0.0010947889898018544,0.6185175201963813,0.008318333298318326,0.015447212755650558,0.003210963071487276
NSL-KDD,HalfSpaceTrees,0.7668133114916,0.0013114737419417932,0.6606989928645461,0.005207373319499109,22.331413745880127,0.30802202224731445,179.1539578108653,2.4711093084598588,0.7644481679869968,0.003091866590034298,0.02192822218399373,0.002675547621898356,0.6602080481500637,0.008209123459010481,0.01937804112487055,0.004175832209116921
NSL-KDD,xStream,0.7527044724067531,0.0022721567417328115,0.6466726684762664,0.00587611313366565,3.752097725868225,0.00598752498626709,1066.0730285653767,1.701218721387022,0.750202169697622,0.005474363786852565,0.03813032819404205,0.010058361302385178,0.6474379660550507,0.01078989534464131,0.027710547026129476,0.0014407408727170803
UNSW-NB15,MemStream,0.39881002500372664,0.03174665969721305,0.946814557714356,0.005356649751244391,17.628255605697632,0.44159436225891113,170.28819031565263,4.265782530312293,0.40083013422500524,0.031873938779931416,0.016727465151163693,0.0019553905798711862,0.9465235314248455,0.004102866063380339,0.009881497101173824,0.0024071154860855985
UNSW-NB15,HalfSpaceTrees,0.22020085121671923,0.013189710552574868,0.9009497285039604,0.006374942618892709,27.539661526679993,0.1259983777999878,145.2481079427963,0.6645334388579869,0.22626878762607533,0.014179063077889811,0.027910534715915016,0.002932319998313797,0.9032223518628175,0.006176977946574624,0.009836456185900292,0.0016986456650430904
UNSW-NB15,xStream,0.22003560482201567,0.014681092833393375,0.8951168694442471,0.0058924382428181,3.8007553815841675,0.04873955249786377,1052.5954686414875,13.498114704104523,0.22535765804031027,0.015478556746257838,0.02439033535282103,0.0063881694588899494,0.8974977638987343,0.005795142834478406,0.009369626964907235,0.0017456734551894483
